--- PROJECTS ---
- ID: 699d1f2b4d7710a3ad23596c, Name: Industrial Shed – Phase II, Count: 1
- ID: 699d1f2b4d7710a3ad23596f, Name: Warehouse Complex – WH7, Count: undefined
- ID: 69ba3ad5b0939795cf6046e7, Name: maryland, Count: 7
- ID: 69bb9f35cb7055937287ba0e, Name: cleve, Count: 16
- ID: 69bd358ee076089d2d34a4ca, Name: sds, Count: 1

--- ALL TRANSMITTALS ---
- ProjectID: 69aeab8a21f9964e73e4d732, Transmittal #: 1, New: 32, ID: 69aeac6321f9964e73e4d8e7
- ProjectID: 69aeaed3a7c4d590746fcbd3, Transmittal #: 1, New: 32, ID: 69aeafa6a7c4d590746fcd88
- ProjectID: 69aeb0c0a7c4d590746fcde0, Transmittal #: 1, New: 32, ID: 69aeb175a7c4d590746fcf9a
- ProjectID: 69aeb1f4a7c4d590746fcff1, Transmittal #: 1, New: 32, ID: 69aeb289a7c4d590746fd1a7
- ProjectID: 69aeb400a7c4d590746fd1f4, Transmittal #: 1, New: 32, ID: 69aeb4a9a7c4d590746fd3a8
- ProjectID: 69aeb589a7c4d590746fd405, Transmittal #: 1, New: 32, ID: 69aeb737a7c4d590746fd5bd
- ProjectID: 69aeb892a7c4d590746fd5f7, Transmittal #: 1, New: 32, ID: 69aeb97da7c4d590746fd79a
- ProjectID: 69aebb34a7c4d590746fd7d5, Transmittal #: 1, New: 32, ID: 69aebbd6a7c4d590746fd982
- ProjectID: 69af93f6c9550eab33e3ed1f, Transmittal #: 1, New: 32, ID: 69af95f0c9550eab33e3f13c
- ProjectID: 69af98ee04f2bf30ef57dc91, Transmittal #: 1, New: 32, ID: 69af9a7e04f2bf30ef57df5a
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 1, New: 1, ID: 69afa4f04c95f66e8dd6b2c1
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 2, New: 1, ID: 69afa4f24c95f66e8dd6b2d0
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 3, New: 1, ID: 69afa4f34c95f66e8dd6b2df
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 4, New: 1, ID: 69afa4f74c95f66e8dd6b2f1
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 5, New: 1, ID: 69afa4f84c95f66e8dd6b300
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 6, New: 1, ID: 69afa5004c95f66e8dd6b323
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 7, New: 1, ID: 69afa50f4c95f66e8dd6b38b
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 8, New: 1, ID: 69afa5114c95f66e8dd6b3a0
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 9, New: 1, ID: 69afa5144c95f66e8dd6b3bf
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 10, New: 1, ID: 69afa5174c95f66e8dd6b3d0
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 11, New: 1, ID: 69afa5194c95f66e8dd6b3ec
- ProjectID: 69afa4c94c95f66e8dd6b21d, Transmittal #: 12, New: 0, ID: 69afa52d4c95f66e8dd6b442
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 1, New: 1, ID: 69afa788504243a96bcc1243
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 2, New: 1, ID: 69afa78a504243a96bcc1252
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 3, New: 1, ID: 69afa78c504243a96bcc1261
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 4, New: 1, ID: 69afa78e504243a96bcc1273
- ProjectID: 69afa769504243a96bcc119f, Transmittal #: 5, New: 1, ID: 69afa790504243a96bcc1282
